trading_session_uuid,trader_uuid,trader_type,order_id,status,order_type,amount,price,timestamp,order_json,created_ts
bc96160b-a753-413d-b47b-cf072bdd6b94,46d0b9d0-33dc-4ad8-834a-587c19744e8d,,04368430-606b-4f03-937f-b8b23b07d65e,active,1,1.0,40.0,2026-02-16T22:43:10.101207+00:00,"{""amount"": 1, ""id"": ""04368430-606b-4f03-937f-b8b23b07d65e"", ""order_type"": 1, ""price"": 40, ""session_id"": ""bc96160b-a753-413d-b47b-cf072bdd6b94"", ""status"": ""active"", ""timestamp"": ""2026-02-16 22:43:10.101207+00:00"", ""trader_id"": ""46d0b9d0-33dc-4ad8-834a-587c19744e8d""}",1771281790.183039
bc96160b-a753-413d-b47b-cf072bdd6b94,46d0b9d0-33dc-4ad8-834a-587c19744e8d,,9f2ad5a6-8a75-4a37-a4e0-3aacb2a40c1d,active,1,1.0,40.0,2026-02-16T22:43:10.412187+00:00,"{""amount"": 1, ""id"": ""9f2ad5a6-8a75-4a37-a4e0-3aacb2a40c1d"", ""order_type"": 1, ""price"": 40, ""session_id"": ""bc96160b-a753-413d-b47b-cf072bdd6b94"", ""status"": ""active"", ""timestamp"": ""2026-02-16 22:43:10.412187+00:00"", ""trader_id"": ""46d0b9d0-33dc-4ad8-834a-587c19744e8d""}",1771281790.416109
bc96160b-a753-413d-b47b-cf072bdd6b94,46d0b9d0-33dc-4ad8-834a-587c19744e8d,,d4febe6b-4997-41a3-aa15-38345da97f2b,active,-1,1.0,67.0,2026-02-16T22:43:12.091151+00:00,"{""amount"": 1, ""id"": ""d4febe6b-4997-41a3-aa15-38345da97f2b"", ""order_type"": -1, ""price"": 67, ""session_id"": ""bc96160b-a753-413d-b47b-cf072bdd6b94"", ""status"": ""active"", ""timestamp"": ""2026-02-16 22:43:12.091151+00:00"", ""trader_id"": ""46d0b9d0-33dc-4ad8-834a-587c19744e8d""}",1771281792.09495
bc96160b-a753-413d-b47b-cf072bdd6b94,46d0b9d0-33dc-4ad8-834a-587c19744e8d,,989c0f8b-c9c6-48f6-94f7-10cdc5e53e3c,active,1,1.0,37.0,2026-02-16T22:43:12.833377+00:00,"{""amount"": 1, ""id"": ""989c0f8b-c9c6-48f6-94f7-10cdc5e53e3c"", ""order_type"": 1, ""price"": 37, ""session_id"": ""bc96160b-a753-413d-b47b-cf072bdd6b94"", ""status"": ""active"", ""timestamp"": ""2026-02-16 22:43:12.833377+00:00"", ""trader_id"": ""46d0b9d0-33dc-4ad8-834a-587c19744e8d""}",1771281792.839203
bc96160b-a753-413d-b47b-cf072bdd6b94,46d0b9d0-33dc-4ad8-834a-587c19744e8d,,c78c4dff-1fde-4f5f-87a8-999b41da76a6,active,-1,1.0,61.0,2026-02-16T22:43:13.584357+00:00,"{""amount"": 1, ""id"": ""c78c4dff-1fde-4f5f-87a8-999b41da76a6"", ""order_type"": -1, ""price"": 61, ""session_id"": ""bc96160b-a753-413d-b47b-cf072bdd6b94"", ""status"": ""active"", ""timestamp"": ""2026-02-16 22:43:13.584357+00:00"", ""trader_id"": ""46d0b9d0-33dc-4ad8-834a-587c19744e8d""}",1771281793.588405
bc96160b-a753-413d-b47b-cf072bdd6b94,46d0b9d0-33dc-4ad8-834a-587c19744e8d,,f2a1c056-91ce-4ae4-be01-8d004d4a0df2,active,-1,1.0,44.0,2026-02-16T22:43:18.797237+00:00,"{""amount"": 1, ""id"": ""f2a1c056-91ce-4ae4-be01-8d004d4a0df2"", ""order_type"": -1, ""price"": 44, ""session_id"": ""bc96160b-a753-413d-b47b-cf072bdd6b94"", ""status"": ""active"", ""timestamp"": ""2026-02-16 22:43:18.797237+00:00"", ""trader_id"": ""46d0b9d0-33dc-4ad8-834a-587c19744e8d""}",1771281798.801359
bc96160b-a753-413d-b47b-cf072bdd6b94,46d0b9d0-33dc-4ad8-834a-587c19744e8d,,f2a1c056-91ce-4ae4-be01-8d004d4a0df2,executed,-1,0.0,44.0,2026-02-16T22:43:18.797237+00:00,"{""amount"": 0, ""execution_timestamp"": ""2026-02-16 22:43:18.821023+00:00"", ""id"": ""f2a1c056-91ce-4ae4-be01-8d004d4a0df2"", ""order_type"": -1, ""price"": 44, ""session_id"": ""bc96160b-a753-413d-b47b-cf072bdd6b94"", ""status"": ""executed"", ""timestamp"": ""2026-02-16 22:43:18.797237+00:00"", ""trader_id"": ""46d0b9d0-33dc-4ad8-834a-587c19744e8d""}",1771281798.825591
bc96160b-a753-413d-b47b-cf072bdd6b94,46d0b9d0-33dc-4ad8-834a-587c19744e8d,,ba647d77-31d9-49aa-b046-a965e7581202,executed,1,0.0,44.0,2026-02-16T22:42:19.743887+00:00,"{""amount"": 0, ""execution_timestamp"": ""2026-02-16 22:43:18.829428+00:00"", ""id"": ""ba647d77-31d9-49aa-b046-a965e7581202"", ""order_type"": 1, ""price"": 44, ""session_id"": ""bc96160b-a753-413d-b47b-cf072bdd6b94"", ""status"": ""executed"", ""timestamp"": ""2026-02-16 22:42:19.743887+00:00"", ""trader_id"": ""46d0b9d0-33dc-4ad8-834a-587c19744e8d""}",1771281798.833576
bc96160b-a753-413d-b47b-cf072bdd6b94,46d0b9d0-33dc-4ad8-834a-587c19744e8d,,73d292db-95bb-494d-88f6-ffd87244b176,active,-1,1.0,65.0,2026-02-16T22:43:19.562919+00:00,"{""amount"": 1, ""id"": ""73d292db-95bb-494d-88f6-ffd87244b176"", ""order_type"": -1, ""price"": 65, ""session_id"": ""bc96160b-a753-413d-b47b-cf072bdd6b94"", ""status"": ""active"", ""timestamp"": ""2026-02-16 22:43:19.562919+00:00"", ""trader_id"": ""46d0b9d0-33dc-4ad8-834a-587c19744e8d""}",1771281799.566897
bc96160b-a753-413d-b47b-cf072bdd6b94,46d0b9d0-33dc-4ad8-834a-587c19744e8d,,f4885cb3-96f2-4b6e-9af8-94b07fefe787,active,-1,1.0,68.0,2026-02-16T22:43:20.778532+00:00,"{""amount"": 1, ""id"": ""f4885cb3-96f2-4b6e-9af8-94b07fefe787"", ""order_type"": -1, ""price"": 68, ""session_id"": ""bc96160b-a753-413d-b47b-cf072bdd6b94"", ""status"": ""active"", ""timestamp"": ""2026-02-16 22:43:20.778532+00:00"", ""trader_id"": ""46d0b9d0-33dc-4ad8-834a-587c19744e8d""}",1771281800.782644
bc96160b-a753-413d-b47b-cf072bdd6b94,46d0b9d0-33dc-4ad8-834a-587c19744e8d,,e0f18775-2524-4477-a53e-b1e3f43b41fa,active,-1,1.0,43.0,2026-02-16T22:43:21.991615+00:00,"{""amount"": 1, ""id"": ""e0f18775-2524-4477-a53e-b1e3f43b41fa"", ""order_type"": -1, ""price"": 43, ""session_id"": ""bc96160b-a753-413d-b47b-cf072bdd6b94"", ""status"": ""active"", ""timestamp"": ""2026-02-16 22:43:21.991615+00:00"", ""trader_id"": ""46d0b9d0-33dc-4ad8-834a-587c19744e8d""}",1771281801.995471
bc96160b-a753-413d-b47b-cf072bdd6b94,46d0b9d0-33dc-4ad8-834a-587c19744e8d,,e0f18775-2524-4477-a53e-b1e3f43b41fa,executed,-1,0.0,43.0,2026-02-16T22:43:21.991615+00:00,"{""amount"": 0, ""execution_timestamp"": ""2026-02-16 22:43:22.006689+00:00"", ""id"": ""e0f18775-2524-4477-a53e-b1e3f43b41fa"", ""order_type"": -1, ""price"": 43, ""session_id"": ""bc96160b-a753-413d-b47b-cf072bdd6b94"", ""status"": ""executed"", ""timestamp"": ""2026-02-16 22:43:21.991615+00:00"", ""trader_id"": ""46d0b9d0-33dc-4ad8-834a-587c19744e8d""}",1771281802.017123
bc96160b-a753-413d-b47b-cf072bdd6b94,46d0b9d0-33dc-4ad8-834a-587c19744e8d,,3d59b15d-8518-4a90-81bd-6fa0071e8f49,executed,1,0.0,43.0,2026-02-16T22:42:05.212007+00:00,"{""amount"": 0, ""execution_timestamp"": ""2026-02-16 22:43:22.020424+00:00"", ""id"": ""3d59b15d-8518-4a90-81bd-6fa0071e8f49"", ""order_type"": 1, ""price"": 43, ""session_id"": ""bc96160b-a753-413d-b47b-cf072bdd6b94"", ""status"": ""executed"", ""timestamp"": ""2026-02-16 22:42:05.212007+00:00"", ""trader_id"": ""46d0b9d0-33dc-4ad8-834a-587c19744e8d""}",1771281802.023929
bc96160b-a753-413d-b47b-cf072bdd6b94,46d0b9d0-33dc-4ad8-834a-587c19744e8d,,adbb56ca-d5c0-4398-b90e-9673e7c16676,active,1,1.0,39.0,2026-02-16T22:43:25.611203+00:00,"{""amount"": 1, ""id"": ""adbb56ca-d5c0-4398-b90e-9673e7c16676"", ""order_type"": 1, ""price"": 39, ""session_id"": ""bc96160b-a753-413d-b47b-cf072bdd6b94"", ""status"": ""active"", ""timestamp"": ""2026-02-16 22:43:25.611203+00:00"", ""trader_id"": ""46d0b9d0-33dc-4ad8-834a-587c19744e8d""}",1771281805.621175
